%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
46313000000,0.0,0.0,0.0,0.0,0.0,0.0
46313000000,0.0,0.0,0.0,0.0,0.0,0.5
46313000000,0.0,0.0,0.0,0.0,0.0,0.5
46412000000,0.0,0.0,0.0,0.0,0.0,0.5
46515000000,0.0,0.0,0.0,0.0,0.0,0.5
46613000000,0.0,0.0,0.0,0.0,0.0,0.5
46720000000,0.0,0.0,0.0,0.0,0.0,0.5
46812000000,0.0,0.0,0.0,0.0,0.0,0.5
46914000000,0.0,0.0,0.0,0.0,0.0,0.5
47025000000,0.0,0.0,0.0,0.0,0.0,0.5
47112000000,0.0,0.0,0.0,0.0,0.0,0.5
47216000000,0.0,0.0,0.0,0.0,0.0,0.5
47314000000,0.0,0.0,0.0,0.0,0.0,0.5
47414000000,0.0,0.0,0.0,0.0,0.0,0.5
47514000000,0.0,0.0,0.0,0.0,0.0,0.5
47613000000,0.0,0.0,0.0,0.0,0.0,0.5
47716000000,0.0,0.0,0.0,0.0,0.0,0.5
47812000000,0.0,0.0,0.0,0.0,0.0,0.5
47914000000,0.0,0.0,0.0,0.0,0.0,0.5
48008000000,0.0,0.0,0.0,0.0,0.0,0.5
48116000000,0.0,0.0,0.0,0.0,0.0,0.5
48213000000,0.0,0.0,0.0,0.0,0.0,0.5
48314000000,0.0,0.0,0.0,0.0,0.0,0.5
48412000000,0.0,0.0,0.0,0.0,0.0,0.5
48513000000,0.0,0.0,0.0,0.0,0.0,0.5
48612000000,0.0,0.0,0.0,0.0,0.0,0.5
48719000000,0.0,0.0,0.0,0.0,0.0,0.5
48814000000,0.0,0.0,0.0,0.0,0.0,0.5
48913000000,0.0,0.0,0.0,0.0,0.0,0.5
49017000000,0.0,0.0,0.0,0.0,0.0,0.5
49128000000,0.0,0.0,0.0,0.0,0.0,0.5
49217000000,0.0,0.0,0.0,0.0,0.0,0.5
49315000000,0.0,0.0,0.0,0.0,0.0,0.5
49410000000,0.0,0.0,0.0,0.0,0.0,0.5
49517000000,0.0,0.0,0.0,0.0,0.0,0.0
49517000000,0.4,0.0,0.0,0.0,0.0,0.0
49614000000,0.4,0.0,0.0,0.0,0.0,0.0
